pygame 1.9.4
Hello from the pygame community. https://www.pygame.org/contribute.html
Actor-Critic training
pygame 1.9.4
Hello from the pygame community. https://www.pygame.org/contribute.html
Episode finished after 50 timesteps, total rewards -50, global rewards -48.77473618654208 (g_ep 199), action: [0. 0.], time: 22:51:04.790179
Episode finished after 50 timesteps, total rewards -50, global rewards -48.823016469594926 (g_ep 203), action: [1.        0.3784346], time: 22:51:16.463141
Episode finished after 50 timesteps, total rewards -50, global rewards -48.86939431685717 (g_ep 207), action: [0. 0.], time: 22:51:26.010940
Episode finished after 50 timesteps, total rewards -50, global rewards -48.90414369188967 (g_ep 211), action: [0. 0.], time: 22:51:36.091001
Episode finished after 50 timesteps, total rewards -50, global rewards -48.957851554866934 (g_ep 216), action: [0. 1.], time: 22:51:45.668036
Episode finished after 50 timesteps, total rewards -50, global rewards -48.98880440583583 (g_ep 219), action: [0. 1.], time: 22:51:53.540428
Episode finished after 50 timesteps, total rewards -50, global rewards -49.02864954691631 (g_ep 223), action: [0. 0.], time: 22:52:01.301686
Episode finished after 50 timesteps, total rewards -50, global rewards -49.05749962672335 (g_ep 226), action: [1. 1.], time: 22:52:08.754558pygame 1.9.4
Hello from the pygame community. https://www.pygame.org/contribute.html
Episode finished after 50 timesteps, total rewards -48, global rewards -43.079502 (g_ep 4), action: [0. 1.], time: 22:44:22.180270
Episode finished after 50 timesteps, total rewards -48, global rewards -43.24428127398702 (g_ep 8), action: [1. 1.], time: 22:44:29.653325
Episode finished after 50 timesteps, total rewards -44, global rewards -43.371677567109636 (g_ep 12), action: [0. 1.], time: 22:44:37.015664
Episode finished after 50 timesteps, total rewards -47, global rewards -43.60285991797202 (g_ep 16), action: [0. 1.], time: 22:44:44.790065
Episode finished after 50 timesteps, total rewards -50, global rewards -43.81612080179285 (g_ep 20), action: [0.         0.53761464], time: 22:44:51.962968
Episode finished after 50 timesteps, total rewards -48, global rewards -44.0007823358802 (g_ep 24), action: [1. 1.], time: 22:44:58.029478
Episode finished after 50 timesteps, total rewards -50, global rewards -44.178957508725 (g_ep 28), action: [0. 1.], time: 22:45:04.535425
Episode finished after 50 timesteps, total rewards -50, global rewards -44.33214729175836 (g_ep 31), action: [1.        0.8342619], time: 22:45:13.791948
Episode finished after 50 timesteps, total rewards -47, global rewards -44.45648030319539 (g_ep 35), action: [1.         0.71846914], time: 22:45:20.759193
Episode finished after 50 timesteps, total rewards -50, global rewards -44.635416097893085 (g_ep 39), action: [0.        0.9399053], time: 22:45:26.102814
Episode finished after 50 timesteps, total rewards -47, global rewards -44.78710210832586 (g_ep 43), action: [0.         0.47553435], time: 22:45:32.060708
Episode finished after 50 timesteps, total rewards -50, global rewards -44.91252738860647 (g_ep 46), action: [0. 1.], time: 22:45:38.063184
Episode finished after 50 timesteps, total rewards -50, global rewards -45.063630412637465 (g_ep 49), action: [1. 1.], time: 22:45:42.360794
Episode finished after 50 timesteps, total rewards -50, global rewards -45.2581430704942 (g_ep 53), action: [1. 0.], time: 22:45:51.812028
Episode finished after 50 timesteps, total rewards -50, global rewards -45.42529015352588 (g_ep 57), action: [0. 1.], time: 22:45:59.988372
Episode finished after 50 timesteps, total rewards -47, global rewards -45.49744687887731 (g_ep 63), action: [1.         0.70596385], time: 22:46:07.306151
Episode finished after 50 timesteps, total rewards -50, global rewards -45.65545945703649 (g_ep 67), action: [0.         0.23198882], time: 22:46:13.584914
Episode finished after 50 timesteps, total rewards -50, global rewards -45.868385172254555 (g_ep 72), action: [1. 1.], time: 22:46:20.685274
Episode finished after 50 timesteps, total rewards -50, global rewards -46.03118728161088 (g_ep 76), action: [0.         0.09391788], time: 22:46:27.863975
Episode finished after 50 timesteps, total rewards -50, global rewards -46.18757433827817 (g_ep 80), action: [1. 1.], time: 22:46:35.385157
Episode finished after 50 timesteps, total rewards -50, global rewards -46.3086901509284 (g_ep 84), action: [1. 1.], time: 22:46:43.515055
Episode finished after 50 timesteps, total rewards -50, global rewards -46.45414248730811 (g_ep 88), action: [0.        0.3628491], time: 22:46:53.376453
Episode finished after 50 timesteps, total rewards -50, global rewards -46.59386342127964 (g_ep 92), action: [0. 1.], time: 22:47:00.457995
Episode finished after 50 timesteps, total rewards -49, global rewards -46.64174553919618 (g_ep 94), action: [1. 0.], time: 22:47:08.142441
Episode finished after 50 timesteps, total rewards -50, global rewards -46.77407416438715 (g_ep 98), action: [1. 1.], time: 22:47:16.273267
Episode finished after 50 timesteps, total rewards -50, global rewards -46.922473638616836 (g_ep 103), action: [0. 1.], time: 22:47:25.322893
Episode finished after 50 timesteps, total rewards -50, global rewards -46.99407924907628 (g_ep 106), action: [1. 1.], time: 22:47:33.846272
Episode finished after 50 timesteps, total rewards -50, global rewards -47.16998528233277 (g_ep 112), action: [0. 1.], time: 22:47:44.017013
Episode finished after 50 timesteps, total rewards -50, global rewards -47.25179915396758 (g_ep 116), action: [0. 0.], time: 22:47:53.583822
Episode finished after 50 timesteps, total rewards -50, global rewards -47.33342346729559 (g_ep 119), action: [1. 1.], time: 22:48:02.784131
Episode finished after 50 timesteps, total rewards -50, global rewards -47.46411225010126 (g_ep 124), action: [1. 1.], time: 22:48:11.796433
Episode finished after 50 timesteps, total rewards -50, global rewards -47.564036345639394 (g_ep 128), action: [1. 1.], time: 22:48:21.690729
Episode finished after 50 timesteps, total rewards -50, global rewards -47.63638690213756 (g_ep 131), action: [1. 1.], time: 22:48:28.528945
Episode finished after 50 timesteps, total rewards -50, global rewards -47.7522274621195 (g_ep 136), action: [1. 0.], time: 22:48:40.862454
Episode finished after 50 timesteps, total rewards -50, global rewards -47.84079866872442 (g_ep 140), action: [1. 0.], time: 22:48:54.352729
Episode finished after 50 timesteps, total rewards -50, global rewards -47.96715480804383 (g_ep 146), action: [0. 0.], time: 22:49:07.274083
Episode finished after 50 timesteps, total rewards -50, global rewards -48.027532343090115 (g_ep 149), action: [0. 1.], time: 22:49:13.610692
Episode finished after 50 timesteps, total rewards -50, global rewards -48.10525543891832 (g_ep 153), action: [1. 0.], time: 22:49:21.668884
Episode finished after 50 timesteps, total rewards -50, global rewards -48.17991593465573 (g_ep 157), action: [0.        0.2316753], time: 22:49:29.389823
Episode finished after 50 timesteps, total rewards -50, global rewards -48.25163450896572 (g_ep 161), action: [1. 0.], time: 22:49:38.941891
Episode finished after 50 timesteps, total rewards -50, global rewards -48.32052708529078 (g_ep 165), action: [0. 1.], time: 22:49:48.072781
Episode finished after 50 timesteps, total rewards -50, global rewards -48.38670501922725 (g_ep 169), action: [1. 1.], time: 22:49:56.922582
Episode finished after 50 timesteps, total rewards -50, global rewards -48.43462149345118 (g_ep 172), action: [0. 0.], time: 22:50:05.115750
