Episode 343 finished after 16 timesteps, total rewards -8
Episode 344 finished after 25 timesteps, total rewards -23
Episode 345 finished after 25 timesteps, total rewards -23
Episode 346 finished after 25 timesteps, total rewards -21
Episode 347 finished after 25 timesteps, total rewards -19
Episode 348 finished after 25 timesteps, total rewards -21
Episode 349 finished after 25 timesteps, total rewards -24
Episode 350 finished after 4 timesteps, total rewards 3
Episode 351 finished after 25 timesteps, total rewards -22
Episode 352 finished after 25 timesteps, total rewards -23
Episode 353 finished after 15 timesteps, total rewards -8
Episode 354 finished after 25 timesteps, total rewards -22
Episode 355 finished after 25 timesteps, total rewards -20
Episode 356 finished after 21 timesteps, total rewards -14
Episode 357 finished after 25 timesteps, total rewards -20
Episode 358 finished after 25 timesteps, total rewards -24
Episode 359 finished after 25 timesteps, total rewards -19
Episode 360 finished after 25 timesteps, total rewards -22
Episode 361 finished after 25 timesteps, total rewards -24
Episode 362 finished after 25 timesteps, total rewards -24
Episode 363 finished after 25 timesteps, total rewards -24
Episode 364 finished after 3 timesteps, total rewards 4
Episode 365 finished after 25 timesteps, total rewards -20
Episode 366 finished after 25 timesteps, total rewards -23
Episode 367 finished after 24 timesteps, total rewards -13
Episode 368 finished after 25 timesteps, total rewards -23
Episode 369 finished after 25 timesteps, total rewards -21
Episode 370 finished after 25 timesteps, total rewards -18
Episode 371 finished after 25 timesteps, total rewards -21
Episode 372 finished after 25 timesteps, total rewards -21
Episode 373 finished after 25 timesteps, total rewards -19
Episode 374 finished after 25 timesteps, total rewards -23
Episode 375 finished after 25 timesteps, total rewards -23
Episode 376 finished after 25 timesteps, total rewards -18
Episode 377 finished after 25 timesteps, total rewards -16
Episode 378 finished after 25 timesteps, total rewards -23
Episode 379 finished after 25 timesteps, total rewards -18
Episode 380 finished after 25 timesteps, total rewards -24
Episode 381 finished after 9 timesteps, total rewards -1
Episode 382 finished after 25 timesteps, total rewards -20
Episode 383 finished after 25 timesteps, total rewards -21
Episode 384 finished after 25 timesteps, total rewards -21
Episode 385 finished after 25 timesteps, total rewards -21
Episode 386 finished after 25 timesteps, total rewards -23
Episode 387 finished after 25 timesteps, total rewards -21
Episode 388 finished after 25 timesteps, total rewards -22
Episode 389 finished after 25 timesteps, total rewards -23
Episode 390 finished after 13 timesteps, total rewards -5
Episode 391 finished after 25 timesteps, total rewards -23
Episode 392 finished after 25 timesteps, total rewards -24
Episode 393 finished after 22 timesteps, total rewards -11
Episode 394 finished after 25 timesteps, total rewards -20
Episode 395 finished after 25 timesteps, total rewards -21
Episode 396 finished after 7 timesteps, total rewards 1
Episode 397 finished after 25 timesteps, total rewards -21
Episode 398 finished after 25 timesteps, total rewards -21
Episode 399 finished after 25 timesteps, total rewards -16
Episode 400 finished after 25 timesteps, total rewards -18
Episode 401 finished after 25 timesteps, total rewards -20
Episode 402 finished after 25 timesteps, total rewards -21
Episode 403 finished after 25 timesteps, total rewards -20
Episode 404 finished after 25 timesteps, total rewards -22
Episode 405 finished after 25 timesteps, total rewards -23
Episode 406 finished after 25 timesteps, total rewards -18
Episode 407 finished after 25 timesteps, total rewards -25
Episode 408 finished after 25 timesteps, total rewards -18
Episode 409 finished after 25 timesteps, total rewards -20
Episode 410 finished after 25 timesteps, total rewards -20
Episode 411 finished after 25 timesteps, total rewards -21
Episode 412 finished after 25 timesteps, total rewards -24
Episode 413 finished after 8 timesteps, total rewards -2
Episode 414 finished after 25 timesteps, total rewards -22
Episode 415 finished after 16 timesteps, total rewards -9
Episode 416 finished after 3 timesteps, total rewards 3
Episode 417 finished after 25 timesteps, total rewards -24
Episode 418 finished after 25 timesteps, total rewards -21
Episode 419 finished after 25 timesteps, total rewards -23
Episode 420 finished after 25 timesteps, total rewards -25
Episode 421 finished after 25 timesteps, total rewards -24
Episode 422 finished after 25 timesteps, total rewards -17
Episode 423 finished after 25 timesteps, total rewards -21
Episode 424 finished after 25 timesteps, total rewards -24
Episode 425 finished after 25 timesteps, total rewards -20
Episode 426 finished after 25 timesteps, total rewards -22
Episode 427 finished after 1 timesteps, total rewards 5
Episode 428 finished after 25 timesteps, total rewards -24
Episode 429 finished after 25 timesteps, total rewards -16
Episode 430 finished after 25 timesteps, total rewards -17
Episode 431 finished after 25 timesteps, total rewards -19
Episode 432 finished after 25 timesteps, total rewards -21
Episode 433 finished after 25 timesteps, total rewards -18
Episode 434 finished after 25 timesteps, total rewards -20
Episode 435 finished after 25 timesteps, total rewards -24
Episode 436 finished after 25 timesteps, total rewards -21
Episode 437 finished after 12 timesteps, total rewards -2
Episode 438 finished after 25 timesteps, total rewards -22
Episode 439 finished after 25 timesteps, total rewards -21
Episode 440 finished after 25 timesteps, total rewards -20
Episode 441 finished after 8 timesteps, total rewards -1
Episode 442 finished after 9 timesteps, total rewards -1
Episode 443 finished after 25 timesteps, total rewards -22
Episode 444 finished after 25 timesteps, total rewards -24
Episode 445 finished after 25 timesteps, total rewards -21
Episode 446 finished after 25 timesteps, total rewards -21
Episode 447 finished after 18 timesteps, total rewards -9
Episode 448 finished after 25 timesteps, total rewards -18
Episode 449 finished after 25 timesteps, total rewards -22
Episode 450 finished after 25 timesteps, total rewards -21
Episode 451 finished after 22 timesteps, total rewards -14
